PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,DeploymentOrder,CharacterCount
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesOverview,CREATE TABLE,SALES,01-tables.sql,20,30,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2040 | MSCEWI2053 | MSCEWI1036 | MSCEWI2015,,,--,100%,7,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesReason,CREATE TABLE,SALES,01-tables.sql,56,12,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactSalesQuota,CREATE TABLE,SALES,01-tables.sql,73,15,Low,Fully Converted,MSCEWI2008,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,94,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,TEMP_QUAL_TABLE,CREATE TABLE,PRODUCT,01-tables.sql,108,16,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimEmployee,CREATE TABLE,HR,01-tables.sql,130,39,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,6,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_DUPE,CREATE TABLE,HR,01-tables.sql,171,2,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimGeography,CREATE TABLE,PRODUCT,01-tables.sql,175,19,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimAccount,CREATE TABLE,PRODUCT,01-tables.sql,196,18,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimDepartmentGroup,CREATE TABLE,PRODUCT,01-tables.sql,216,11,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactCallCenter,CREATE TABLE,HR,01-tables.sql,229,22,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimPromotion,CREATE TABLE,SALES,01-tables.sql,253,24,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimOrganization,CREATE TABLE,HR,01-tables.sql,279,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProduct,CREATE TABLE,PRODUCT,01-tables.sql,294,44,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactSurveyResponse,CREATE TABLE,SALES,01-tables.sql,340,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactCurrencyRate,CREATE TABLE,SALES,01-tables.sql,358,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesTerritory,CREATE TABLE,SALES,01-tables.sql,373,14,Low,Fully Converted,MSCEWI2013 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimReseller,CREATE TABLE,SALES,01-tables.sql,389,28,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProductCategory,CREATE TABLE,PRODUCT,01-tables.sql,419,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactInternetSalesReason,CREATE TABLE,SALES,01-tables.sql,434,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimDate,CREATE TABLE,HR,01-tables.sql,446,27,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactFinance,CREATE TABLE,HR,01-tables.sql,476,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProductSubcategory,CREATE TABLE,PRODUCT,01-tables.sql,494,14,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
