SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
332fb598-8008-4bf0-bdad-189f92dd9d6b,Comparison Operators and Functions,=,CREATE / REPLACE PROCEDURE,,3,3,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Comparison Operators and Functions,=,CREATE / REPLACE VIEW,SQL,4,7,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Comparison Operators and Functions,=,CREATE TABLE,SQL,2,2,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,String Operators and Functions,||,CREATE TABLE,SQL,2,2,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,String Operators and Functions,||,CREATE / REPLACE PROCEDURE,,14,14,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Procedure Statements,ABORT,CREATE / REPLACE PROCEDURE,,4,7,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Manipulation Language Statements,ACCESS,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,"SELECT statement syntax, options, clauses, modifiers",ALL,CREATE / REPLACE VIEW,SQL,3,0,3,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Function,avg,CREATE / REPLACE VIEW,SQL,7,7,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Function,BEGIN,CREATE / REPLACE VIEW,SQL,2,2,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Logical Predicates,BETWEEN / NOT BETWEEN,CREATE / REPLACE PROCEDURE,,1,1,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Manipulation Language Statements,CALL,CREATE / REPLACE PROCEDURE,,12,12,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Case Expressions,CASE,CREATE / REPLACE PROCEDURE,,2,10,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Uncategorized,CHAR,CREATE TABLE,SQL,15,15,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CHARACTER SET,CREATE / REPLACE PROCEDURE,SQL,1,1,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CHARACTER SET,CREATE TABLE,SQL,140,140,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CHECK,CREATE TABLE,SQL,6,6,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,36,36,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CHECKSUM,CREATE TABLE,BTEQ,1,1,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,COMPRESS,CREATE TABLE,SQL,28,28,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,7,190,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,12,123,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CREATE MACRO,CREATE MACRO,SQL,2,16,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CREATE MULTISET TABLE,CREATE TABLE,BTEQ,1,1,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CREATE MULTISET TABLE,CREATE TABLE,SQL,10,10,0,0,0
332fb598-8008-4bf0-bdad-189f92dd9d6b,Data Definition Statements,CREATE SET TABLE,CREATE TABLE,SQL,26,26,0,0,0
