Category,ConvertedObjects,NotConvertedObjects,PartiallyConvertedObjects,Total,ProcessedLoC,NotProcessedLOC,ErrorParsingLOC,TotalParsingErrors,TotalConversionErrors,ErrorConversionLOC,TotalLoc
Dynamic Result Set Routine Characteristic,0,3,0,3,0,3,0,0,0,0,0
Simple Data Type,324,0,0,324,324,0,0,0,0,0,0
From Clause,18,0,0,18,27,0,0,0,0,0,0
Tables,41,0,0,41,664,0,0,0,0,0,0
Teradata Select,19,0,0,19,120,0,0,0,0,0,0
Views,12,0,0,12,123,0,0,0,0,0,0
Cursor Declare,8,0,0,8,12,0,0,0,0,0,0
Assignment Stat,36,0,0,36,40,0,0,0,0,0,0
Function Expr,28,1,0,29,28,1,0,0,0,0,0
Interval Type,16,5,0,21,16,5,0,0,0,0,0
Macros,2,0,0,2,16,0,0,0,0,0,0
Prepare Statement,3,0,0,3,3,0,0,0,0,0,0
Open Statement,8,0,0,8,8,0,0,0,0,0,0
Fallback Option,37,0,0,37,37,0,0,0,0,0,0
Table Journal Option,37,0,0,37,37,0,0,0,0,0,0
Table After Journal Option,37,0,0,37,37,0,0,0,0,0,0
Checksum Option,37,0,0,37,37,0,0,0,0,0,0
Table Merge Block Ratio Option,37,0,0,37,37,0,0,0,0,0,0
Procedures,6,0,1,7,190,0,0,0,0,0,0
For Statement,2,0,0,2,28,0,0,0,0,0,0
Where Clause,7,0,0,7,20,0,0,0,0,0,0
Character Set Phrase,141,0,0,141,141,0,0,0,0,0,0
Union,3,0,0,3,3,0,0,0,0,0,0
Null Predicate,5,0,0,5,7,0,0,0,0,0,0
If Statement,7,0,0,7,45,0,0,0,0,0,0
Natural Qualified Join,0,1,0,1,0,3,0,0,0,0,0
Concatenation,16,0,0,16,16,0,0,0,0,0,0
Inserts,4,0,0,4,4,0,0,0,0,0,0
Check Column Constraint,6,0,0,6,6,0,0,0,0,0,0
Format Data Type Attribute,26,0,0,26,26,0,0,0,0,0,0
Compress Column Constraint,28,0,0,28,28,0,0,0,0,0,0
Primary Key,23,0,0,23,23,0,0,0,0,0,0
While,3,0,0,3,40,0,0,0,0,0,0
Fetch Statement,11,0,0,11,11,0,0,0,0,0,0
Partition By,3,0,0,3,3,0,0,0,0,0,0
Select,2,0,0,2,2,0,0,0,0,0,0
Error Level,6,0,0,6,6,0,0,0,0,0,0
If,8,0,0,8,8,0,0,0,0,0,0
Binary Operation,4,0,0,4,4,0,0,0,0,0,0
Literal Expr,4,0,0,4,4,0,0,0,0,0,0
Drop Table,3,0,0,3,3,0,0,0,0,0,0
Script Sentence,7,0,0,7,7,0,0,0,0,0,0
Label,4,0,0,4,4,0,0,0,0,0,0
Exit Or Quit,4,0,0,4,4,0,0,0,0,0,0
